,mse,r2,pearson,spearman,features,target,model_classpath,model_hparams,trained_on,evaluated_on
0,0.0548068789003532,0.6095618604450135,0.8100553375048041,0.7849098079248298,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,all
1,0.05226914248502197,0.6520977563535151,0.8598405431509141,0.8203163845558302,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,cosmosqa
2,0.04965878066673841,0.6307957884932974,0.8164603729336064,0.7392186538338311,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,drop
3,0.05428719399555917,0.6291349219028014,0.8123872241718821,0.7868140809353704,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,mcscript
4,0.05973034592877296,0.6014718015466016,0.7938506501652963,0.7869979119910302,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,narrativeqa
5,0.0367263439283114,0.5090146782632512,0.776692248224441,0.7697708148464354,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,quoref
6,0.05930905167548515,0.5565669889347645,0.8146354748607638,0.7820328103763908,['LERC'],score_scaled,LERC,{'feature': 'LERC'},all,socialiqa
7,0.137268040873502,0.022117668907021604,0.44705279361768124,0.38198938110191744,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,all
8,0.08532617360993827,0.43207089633862905,0.6601781175320065,0.6115745956221788,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,cosmosqa
9,0.12525107685255255,0.06878049664465657,0.4094057054018248,0.31917027722285873,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,drop
10,0.21283448293181714,-0.4539870515455662,0.18195220255541766,0.12030339011243574,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,mcscript
11,0.17420496569987265,-0.16231691048290076,0.4031827542031936,0.3733189719743968,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,narrativeqa
12,0.052828890339674375,0.29374375595210434,0.6747734916575043,0.6687983563788209,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,quoref
13,0.09686604009295206,0.27576653790709604,0.5951570380820461,0.566458205989086,['bleu1'],score_scaled,bleu1,{'feature': 'bleu1'},all,socialiqa
14,0.1842396841927833,-0.3125031195302199,0.3816517012073862,0.393634608574066,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,all
15,0.10695402878904503,0.2881163758635965,0.6318380568060896,0.6086381536768221,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,cosmosqa
16,0.16037801665749507,-0.19238205989016155,0.33496108225937127,0.381245628825935,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,drop
17,0.255421672335525,-0.744923093025962,0.12561691796675745,0.1784175653699276,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,mcscript
18,0.23360374328540792,-0.5586328442584372,0.33186319152399757,0.3590029801223323,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,narrativeqa
19,0.10351346082630468,-0.38384561139800644,0.34713922586993073,0.6760624423789376,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,quoref
20,0.15407302562219097,-0.151950060665347,0.4829483482626748,0.561706333747263,['bleu2'],score_scaled,bleu2,{'feature': 'bleu2'},all,socialiqa
21,0.21632548427634415,-0.5410788082414046,0.3050946727045433,0.3993725693333584,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,all
22,0.14827203089364213,0.013104677722601599,0.5200052836303826,0.6019252920391017,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,cosmosqa
23,0.16715410686768326,-0.24276108671202845,0.31471897448009745,0.37459365057640875,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,drop
24,0.2680137784528157,-0.8309465559255043,0.12988538317151604,0.20115625115665714,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,mcscript
25,0.2682389476286947,-0.7897231782480525,0.2501827822340059,0.3161032874765538,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,narrativeqa
26,0.12250302690494513,-0.6377123787778982,0.13903519501333866,0.5237137082274053,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,quoref
27,0.20331754279808037,-0.5201340715856282,0.36103348415039593,0.5792909409013348,['bleu3'],score_scaled,bleu3,{'feature': 'bleu3'},all,socialiqa
28,0.23540805170413998,-0.6770209066409025,0.22366564137409334,0.4090757075485858,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,all
29,0.1783979654243172,-0.1874128689000989,0.4337413904986629,0.6004493592841886,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,cosmosqa
30,0.19643875731366295,-0.4604872598477949,-0.013758825783423544,0.30758982115229433,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,drop
31,0.2744346219467026,-0.8748107980892277,0.07039720690376641,0.22714849761248512,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,mcscript
32,0.2827017266932932,-0.8862206151140164,0.20157687363326177,0.31115474479262806,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,narrativeqa
33,0.12326637376155962,-0.6479173723030687,0.13553866859093977,0.3920692369308087,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,quoref
34,0.236426037210207,-0.7676746906691441,0.20322640671591882,0.5798670243534264,['bleu4'],score_scaled,bleu4,{'feature': 'bleu4'},all,socialiqa
35,0.12683945967942534,0.09640972715424223,0.4722821543096294,0.417714089980316,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,all
36,0.07707008911685981,0.48702321011917415,0.7018680045469826,0.6537126726896731,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,cosmosqa
37,0.11200110626769265,0.16729167385418564,0.4804336710080752,0.4158564315313812,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,drop
38,0.20008994724271112,-0.36692226009512807,0.22480232596909006,0.1687496626978262,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,mcscript
39,0.15763040597455194,-0.05172941387996577,0.4341845198664543,0.40556490300260545,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,narrativeqa
40,0.04040009842580824,0.4599011716899807,0.7128179407224753,0.7313762524463526,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,quoref
41,0.09352974641183288,0.3007108374873926,0.5993075898610922,0.5556002364407987,['rougeL'],score_scaled,rougeL,{'feature': 'rougeL'},all,socialiqa
42,0.10207389101174522,0.27283689742260764,0.5652010583275225,0.5390046550265525,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,all
43,0.0797674717414381,0.4690694916832395,0.7154015612816887,0.671974101002402,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,cosmosqa
44,0.08443418192917902,0.37224685856501327,0.6304718625783251,0.6302342982484677,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,drop
45,0.14512776405632707,0.008554032923042687,0.42601795531724834,0.40273807432142933,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,mcscript
46,0.1126002941841638,0.24871701831345272,0.567849673040111,0.5694698226950125,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,narrativeqa
47,0.02730527122449348,0.6349626468826808,0.8100649618698197,0.8366045817618594,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,quoref
48,0.09341268618223654,0.30158605583298204,0.5959584304147978,0.5638623531176449,['hf_rouge1'],score_scaled,hf_rouge1,{'feature': 'hf_rouge1'},all,socialiqa
49,0.17311576402393386,-0.23325754338310278,0.41478366044034853,0.3746026116692925,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,all
50,0.09367208494400167,0.3765206971130092,0.6656874577666527,0.6372946474647624,['hf_rouge2'],score_scaled,hf_rouge2,{'feature': 'hf_rouge2'},all,cosmosqa
